--Move Updates--
Made Danzaspada have 20 PP
Made Frustata have 45 power and 25 PP
Made Missilspillo have 25 power and 95% accuracy
Made Lanciafiamme have 90 power
Made Idropompa have 110 power
Made Surf have 90 power
Made Geloraggio have 90 power
Made Bora have 110 power
Made Crescita have 20 PP
Made Fulmine have 90 power
Made Tuono have 110 power
Made Minimizzato have 10 PP
Made Barriera have 20 PP
Made Leccata have 30 power
Made Smog have 30 power
Made Fuocobomba have 110 power
Made Capocciata have 130 power and 10 PP
Made Bagliore have 100% accuracy
Made Velenogas have 90% accuracy
Made Bolla have 40 power
Made Psiconda have 100% accuracy
Made Scudo Acido have 20 PP
Made Martellata have 100 power
Made Furto have 60 power and 25 PP
Made Russare have 50 power
Made Tagliofuria have 40 power
Made Divinazione have 120 power
Made Ondacalda have 95 power
Made Fuocofatuo have 85% accuracy
Made Maniereforti have 70 power
Made Privazione have 65 power
Made Meteorpugno have 90 power and 90% accuracy
Made Aerasoio have 60 power
Made Vampata have 130 power
Made Rocciotomba have 60 power, 15 PP and 95% accuracy
Made Extrasenso have 20 PP
Made Fanghiglia have 90 power
Made Supplica have 25 PP
Made Svegliopacca have 70 power
Made Ventoincoda have 15 PP
Made Garanzia have 60 power
Made Psicotrasfer have 100% accuracy
Made Forzasfera have 80 power
Made Eterelama have 15 PP
Made Dragopulsar have 85 power
Made Gemmoforza have 80 power
Made Energipalla have 90 power
Made Dragobolide have 130 power
Made Verdebufera have 130 power
Made Sporcolancio have 80% accuracy
Made Schiamazzo have 65 power
Made Magmaclisma have 100 power
Made Tempestretta have 60 power
Made Sincrumore have 120 power
Made Calciobasso have 65 power
Made Sciagura have 65 power
Made Bruciatutto have 60 power
Made Acquapatto have 80 power
Made Fiammapatto have 80 power
Made Erbapatto have 80 power
Made Entomoblocco have 50 power
Made Alitogelido have 45 power
Made Spadasolenne have 15 PP
Made Tifone have 110 power
Made Tecnobotto have 120 power

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
  1|Bulbasaur |FIGHTING/DRAGON  |  52|  30|  65|  19|  79|  72|Voracità    | -          |Velenopunto |Pietraovale (common)
  2|Ivysaur   |WATER            |  63| 100|  54|  20|  43| 124|Voracità    |Immunità    |Riparo      |
  3|Venusaur  |POISON/FLYING    |  29| 105|  79|  98| 113| 101|Immunità    | -          |Adattabilità|Bijouspettro (common), Flauto Blu (dark grass only)
  4|Charmander|GROUND           |  47|  59|  46|  47|  49|  60|Acceleratore|Solarpotere |Prepotenza  |Cura Ball (common)
  5|Charmeleon|FLYING/DRAGON    |  50| 133|  15|  66|  44|  97|Meno        |Pressione   |Corpodifuoco|Master Ball (rare), Dubbiodisco (dark grass only)
  6|Charizard |WATER/DRAGON     |  67|  90|  17| 127| 111| 123|Piedisvelti | -          |Traccia     |Antigelo (rare)
  7|Squirtle  |FIGHTING         |  88|  12|  76|  20|  65|  52|Magmascudo  |Idratazione |Supersorte  |Flauto B.nco (common), Fiammosfera (rare)
  8|Wartortle |GRASS            | 100|  61|  59|  75|  35|  76|Lottascudo  | -          |Mente Locale|Cuorugiada (common), Polvocura (rare), Pietraidrica (dark grass only)
  9|Blastoise |BUG              | 147|  11|  35|  94|  94| 150|Supersorte  |Pellearsa   |Pelledura   |Bijoudrago (dark grass only)
 10|Caterpie  |ICE/FIRE         |  52|  23|  30|  31|  33|  26|Parafulmine | -          |Tanfo       |Lastratetra (dark grass only)
 11|Metapod   |POISON/DARK      |  41|  34|  32|  40|  39|  18|Tanfo       |Magmascudo  |Ventose     |Piumpotenza (common), Lemonsucco (dark grass only)
 12|Butterfree|GRASS            |  50|  91|  58|  97|  77|  21|Abillegame  |Piovischio  |Filtro      |Voltmodulo (dark grass only)
 13|Weedle    |BUG              |  32|  16|  46|  38|  45|  18|Temerarietà | -          |Intricopiedi|Supercolpo (dark grass only)
 14|Kakuna    |STEEL/ICE        |  30|  46|  32|  13|  45|  38|Nullodifesa | -          |Copripioggia|Cuorugiada (dark grass only)
